Employee ID,Termdate,Total Teriminated
00-91321540,12/20/2021,1
00-25372341,12/31/2023,1
00-24508768,5/21/2021,1
00-60372847,6/8/2022,1
00-20200074,12/16/2020,1
00-23676961,10/13/2022,1
00-90585882,7/31/2023,1
00-15512205,8/7/2021,1
00-59737181,5/12/2021,1
00-11698142,12/8/2023,1
00-68186525,11/27/2024,1
00-71705170,3/27/2023,1
00-80027662,2/7/2019,1
00-82232344,11/13/2023,1
00-89520597,6/14/2019,1
00-21631697,4/16/2018,1
00-72372114,6/12/2021,1
00-55150390,9/3/2018,1
00-75437844,3/16/2018,1
00-47535126,9/2/2023,1
00-84597009,6/11/2020,1
00-42394260,2/14/2023,1
00-42255732,3/6/2023,1
00-75876924,9/8/2019,1
00-49491631,12/12/2023,1
00-51098277,6/6/2023,1
00-84285882,5/18/2021,1
00-83871890,1/29/2020,1
00-46361787,11/12/2018,1
00-35848226,3/10/2019,1
00-34850391,12/23/2024,1
00-47111151,8/28/2022,1
00-47983442,8/12/2024,1
00-40532273,3/28/2019,1
00-81690398,,0
00-84270583,11/8/2024,1
00-75884623,1/27/2019,1
00-48163378,3/29/2022,1
00-34744872,11/21/2024,1
00-74119726,10/23/2023,1
00-76001106,10/1/2016,1
00-17195288,12/19/2018,1
00-21432787,5/4/2019,1
00-65857931,11/11/2021,1
00-80138498,7/26/2018,1
00-88990506,5/24/2019,1
00-93352876,12/14/2016,1
00-37888820,5/17/2022,1
00-20896797,8/28/2021,1
00-20075036,,0
00-89699989,4/25/2020,1
00-48668783,4/9/2023,1
00-70939053,4/1/2024,1
00-93893865,7/23/2022,1
00-25405014,7/22/2022,1
00-45652586,7/11/2023,1
00-32269779,1/5/2018,1
00-86397676,11/8/2024,1
00-72907576,6/6/2023,1
00-46540265,6/15/2021,1
00-20796722,9/18/2021,1
00-53261270,12/31/2021,1
00-40725714,5/2/2019,1
00-12784407,12/3/2024,1
00-46173157,2/9/2021,1
00-79654147,11/10/2022,1
00-88561612,11/5/2019,1
00-73083727,6/13/2021,1
00-99943797,6/26/2023,1
00-65250068,4/22/2023,1
00-63747791,4/11/2018,1
00-71045700,10/29/2019,1
00-25558733,8/7/2024,1
00-79067939,11/17/2023,1
00-82825679,1/23/2020,1
00-79583757,4/26/2024,1
00-69329732,8/22/2023,1
00-83715012,10/19/2020,1
00-75056916,4/11/2021,1
00-42117961,7/19/2022,1
00-11835355,7/3/2023,1
00-25228493,9/8/2021,1
00-30665654,8/26/2020,1
00-78299645,10/25/2022,1
00-74759996,1/31/2019,1
00-83989546,2/4/2019,1
00-78214937,10/15/2024,1
00-19369750,5/30/2018,1
00-78147397,2/5/2018,1
00-50071487,4/12/2018,1
00-75718414,2/27/2018,1
00-75007200,5/18/2019,1
00-82937948,12/16/2021,1
00-35320492,2/14/2019,1
00-61401477,2/7/2020,1
00-52704903,12/23/2022,1
00-61167978,10/10/2018,1
00-97512508,3/12/2019,1
00-26944487,4/21/2021,1
00-23470708,6/16/2018,1
00-80591959,7/22/2024,1
00-29348212,4/15/2020,1
00-20043277,4/22/2021,1
00-93652460,3/28/2023,1
00-54099326,1/25/2018,1
00-52501540,7/15/2021,1
00-82613940,3/17/2021,1
00-94712997,7/1/2023,1
00-22130508,7/21/2022,1
00-95060193,10/12/2022,1
00-32329103,9/6/2022,1
00-53536830,6/19/2018,1
00-60310319,12/16/2019,1
00-65304649,8/3/2020,1
00-33497411,3/23/2020,1
00-42323627,7/6/2023,1
00-41163805,3/13/2020,1
00-44269370,5/30/2023,1
00-83363160,3/24/2022,1
00-88862539,4/15/2020,1
00-43567615,6/30/2019,1
00-61632653,1/16/2018,1
00-61185849,2/25/2021,1
00-49625201,10/6/2021,1
00-46840133,1/22/2024,1
00-16582607,3/27/2019,1
00-48412328,2/27/2018,1
00-57287718,,0
00-43638559,12/5/2022,1
00-98473848,6/19/2023,1
00-23041121,3/7/2018,1
00-51464269,4/3/2018,1
00-58970845,12/8/2022,1
00-53851498,10/2/2022,1
00-27738187,11/17/2018,1
00-77349752,6/5/2019,1
00-74672520,4/25/2019,1
00-55461591,6/26/2018,1
00-28892086,6/30/2022,1
00-63339667,2/11/2019,1
00-22120246,5/31/2024,1
00-82017516,4/25/2022,1
00-45186708,11/22/2020,1
00-24541967,9/11/2022,1
00-93154172,11/25/2023,1
00-91883846,,0
00-72312933,6/18/2024,1
00-64800542,9/25/2021,1
00-50851122,8/27/2024,1
00-41514326,1/11/2018,1
00-70887034,2/12/2021,1
00-82503409,1/20/2020,1
00-30739712,11/22/2023,1
00-75679047,8/28/2021,1
00-59731689,4/27/2020,1
00-58678896,8/7/2021,1
00-83076970,6/29/2024,1
00-18126895,10/30/2019,1
00-71031132,10/5/2024,1
00-95831286,6/28/2022,1
00-54762841,3/18/2022,1
00-85776373,,0
00-88703005,1/2/2021,1
00-29804386,3/25/2024,1
00-47215199,11/2/2023,1
00-82506491,1/4/2019,1
00-98725654,12/7/2023,1
00-58082464,9/4/2023,1
00-53455870,8/18/2019,1
00-27013243,6/19/2023,1
00-18530615,10/9/2022,1
00-89680504,7/2/2016,1
00-92558242,3/12/2023,1
00-50484137,12/18/2019,1
00-74287863,10/24/2023,1
00-24490391,10/4/2020,1
00-20843514,12/11/2023,1
00-26937148,,0
00-83599154,3/28/2023,1
00-81210133,12/16/2021,1
00-67740376,3/23/2020,1
00-97874085,7/19/2022,1
00-38859907,11/10/2021,1
00-55490631,5/5/2018,1
00-22762205,9/23/2018,1
00-44210729,3/20/2019,1
00-73655158,11/19/2023,1
00-67965485,7/21/2024,1
00-27463800,6/17/2022,1
00-85387867,4/10/2019,1
00-57459130,11/3/2023,1
00-16904975,8/19/2024,1
00-57197152,6/17/2018,1
00-30767532,5/18/2023,1
00-24524825,6/19/2021,1
00-25419645,6/3/2023,1
00-67594492,7/29/2023,1
00-96261621,5/29/2021,1
00-45896226,1/10/2024,1
00-51471222,11/18/2024,1
00-34347841,10/10/2023,1
00-63792364,2/11/2024,1
00-14114726,1/17/2019,1
00-60491958,9/20/2022,1
00-59667685,2/25/2019,1
00-86181117,6/19/2021,1
00-31127198,6/4/2024,1
00-20949687,12/19/2018,1
00-75184410,10/3/2022,1
00-38933176,1/7/2023,1
00-67702031,,0
00-89609131,3/6/2024,1
00-16095815,3/6/2024,1
00-11031743,,0
00-28419343,5/19/2023,1
00-26104026,4/16/2020,1
00-33581357,,0
00-40884937,1/25/2022,1
00-57535513,,0
00-68548403,4/18/2021,1
00-52018286,8/15/2020,1
00-95918360,8/4/2019,1
00-12799319,2/15/2019,1
00-92963368,11/6/2019,1
00-21828592,3/7/2024,1
00-68475513,5/4/2023,1
00-63118906,6/1/2018,1
00-39738898,1/20/2021,1
00-78515906,3/20/2023,1
00-36025314,1/25/2018,1
00-96629889,9/27/2018,1
00-29655410,4/28/2020,1
00-30517835,11/2/2022,1
00-33776150,8/17/2024,1
00-72270726,4/15/2023,1
00-85764804,12/9/2023,1
00-94183695,1/11/2019,1
00-72937522,4/7/2020,1
00-46866075,1/17/2021,1
00-19957701,7/12/2018,1
00-17635653,5/21/2022,1
00-96525668,4/1/2018,1
00-89736043,8/22/2023,1
00-84399083,8/17/2024,1
00-70362235,1/28/2018,1
00-35265073,10/22/2022,1
00-30248230,2/19/2019,1
00-56095437,8/12/2024,1
00-96721710,10/20/2024,1
00-68754920,12/13/2024,1
00-91846696,10/14/2018,1
00-61998170,1/16/2021,1
00-90246882,11/7/2022,1
00-54915875,2/27/2020,1
00-61883769,7/31/2024,1
00-98122539,4/14/2019,1
00-30182766,7/22/2021,1
00-28982195,2/2/2019,1
00-98870276,3/5/2021,1
00-21370793,8/4/2024,1
00-54087376,10/19/2023,1
00-80651318,11/10/2018,1
00-78248169,7/17/2021,1
00-34194479,5/23/2019,1
00-75266178,8/30/2022,1
00-20356922,5/24/2018,1
00-82446804,2/26/2018,1
00-98842638,1/5/2021,1
00-90161060,5/7/2024,1
00-93851247,3/28/2018,1
00-68743530,1/1/2019,1
00-41880763,2/3/2019,1
00-70254091,7/11/2022,1
00-72950208,4/14/2018,1
00-86560394,12/22/2024,1
00-47818761,4/5/2018,1
00-66191704,2/15/2019,1
00-91156554,,0
00-96057593,2/20/2020,1
00-23769360,8/11/2024,1
00-26733967,7/19/2024,1
00-70306604,12/13/2023,1
00-68716573,10/24/2020,1
00-70549373,7/17/2023,1
00-17148018,1/3/2021,1
00-61830338,9/19/2024,1
00-13783268,12/17/2020,1
00-97236246,10/7/2022,1
00-15140967,5/28/2022,1
00-28628439,5/28/2024,1
00-92590645,6/19/2019,1
00-44349528,10/10/2022,1
00-91722503,10/28/2020,1
00-48668339,4/1/2018,1
00-42002808,12/4/2019,1
00-18429833,,0
00-81947921,,0
00-42472386,5/23/2023,1
00-10209961,12/2/2021,1
00-65910756,6/2/2020,1
00-80260907,4/27/2019,1
00-83025444,10/24/2020,1
00-12729224,4/26/2020,1
00-95318289,12/21/2021,1
00-12179995,3/29/2023,1
00-42363373,2/18/2023,1
00-88101741,7/29/2022,1
00-15950635,1/7/2019,1
00-96274567,3/7/2020,1
00-74227366,2/4/2022,1
00-71428713,2/19/2016,1
00-36772387,3/1/2018,1
00-79173614,7/2/2024,1
00-43999198,1/4/2016,1
00-48401154,12/26/2018,1
00-98010774,5/18/2019,1
00-59394697,12/1/2021,1
00-69020451,11/26/2023,1
00-35074182,7/28/2022,1
00-79696025,6/18/2018,1
00-66975380,10/21/2019,1
00-34220459,12/27/2024,1
00-20746667,8/1/2022,1
00-69849800,1/11/2022,1
00-69580374,4/9/2024,1
00-57319709,3/4/2022,1
00-95828117,6/20/2019,1
00-95565484,11/8/2019,1
00-31473054,3/1/2019,1
00-91547054,8/5/2022,1
00-26942307,7/9/2024,1
00-58607028,3/22/2024,1
00-91214453,12/24/2021,1
00-59930790,5/6/2021,1
00-28481124,12/23/2022,1
00-97182566,3/24/2024,1
00-34970946,5/2/2021,1
00-25805613,12/5/2019,1
00-69897763,10/10/2018,1
00-75927774,1/25/2022,1
00-19939096,11/17/2019,1
00-21783073,11/9/2023,1
00-56630633,9/25/2022,1
00-48971765,10/22/2023,1
00-95590648,8/22/2021,1
00-40097200,11/27/2024,1
00-28639738,8/16/2018,1
00-58438711,8/27/2020,1
00-84040798,6/5/2023,1
00-51512297,5/1/2022,1
00-74245343,6/29/2021,1
00-87161840,5/19/2018,1
00-19954260,1/30/2024,1
00-56239991,,0
00-88891300,,0
00-77493234,12/17/2024,1
00-26664623,11/24/2020,1
00-31738837,7/27/2021,1
00-56442431,8/21/2024,1
00-20584397,1/2/2018,1
00-46836194,8/7/2016,1
00-81602209,4/12/2021,1
00-89431184,10/12/2024,1
00-98413629,5/18/2022,1
00-85647532,1/24/2019,1
00-16101779,6/25/2019,1
00-97393186,1/10/2018,1
00-92961108,7/31/2021,1
00-83226170,6/18/2023,1
00-42866956,11/7/2023,1
00-49920898,10/19/2019,1
00-31217198,6/13/2021,1
00-37383505,9/17/2021,1
00-52857920,7/7/2022,1
00-27551135,8/10/2024,1
00-24251766,12/11/2018,1
00-45899440,8/25/2020,1
00-16792127,3/5/2018,1
00-92594562,8/12/2019,1
00-53947691,1/23/2019,1
00-35479101,10/1/2022,1
00-72654864,10/2/2024,1
00-13110670,4/1/2023,1
00-71368457,1/18/2019,1
00-57364777,1/21/2021,1
00-90197611,1/13/2018,1
00-73161098,,0
00-24428014,11/21/2019,1
00-59093843,5/2/2023,1
00-63765155,9/29/2024,1
00-58657117,10/27/2024,1
00-77680031,1/10/2021,1
00-93650068,9/5/2022,1
00-22976369,1/11/2021,1
00-59070856,8/21/2022,1
00-78333267,7/3/2021,1
00-15222944,10/1/2021,1
00-73584863,9/17/2021,1
00-79190008,1/4/2019,1
00-31810655,12/28/2021,1
00-50162553,5/29/2021,1
00-78412668,8/30/2021,1
00-50237208,3/2/2021,1
00-54458225,6/12/2023,1
00-51295819,9/10/2023,1
00-94457912,6/22/2016,1
00-97991930,8/1/2023,1
00-40540334,2/18/2023,1
00-32885741,4/2/2023,1
00-61028283,11/7/2020,1
00-14237322,4/3/2021,1
00-35606639,7/7/2024,1
00-30324759,6/18/2020,1
00-77353073,10/14/2023,1
00-18359252,7/22/2022,1
00-85280948,5/31/2020,1
00-80528349,12/4/2024,1
00-81555103,7/6/2021,1
00-96343485,8/18/2023,1
00-74985553,4/3/2022,1
00-84905122,,0
00-48789478,11/21/2022,1
00-75632882,2/7/2019,1
00-46702849,,0
00-82905845,7/27/2020,1
00-56323191,1/16/2019,1
00-15646068,6/13/2020,1
00-56488123,9/20/2024,1
00-74300930,9/11/2023,1
00-85432781,8/21/2022,1
00-92634772,6/14/2023,1
00-16813620,5/10/2023,1
00-95623471,2/24/2023,1
00-54331259,1/29/2023,1
00-28450513,4/7/2021,1
00-64614193,3/28/2023,1
00-97313825,10/31/2019,1
00-48307798,5/3/2022,1
00-87058874,4/24/2020,1
00-15006085,12/27/2024,1
00-33593960,2/21/2019,1
00-63283709,12/1/2023,1
00-48851599,1/20/2018,1
00-86230551,2/8/2022,1
00-70981700,3/5/2019,1
00-76291802,1/16/2018,1
00-77674279,8/14/2020,1
00-25119192,5/9/2022,1
00-97011385,6/16/2022,1
00-55246430,1/17/2018,1
00-35925669,2/23/2019,1
00-67405358,1/16/2021,1
00-99826000,7/19/2021,1
00-53433080,10/13/2024,1
00-61482483,10/9/2018,1
00-50526484,10/18/2024,1
00-45105069,3/12/2023,1
00-18338186,9/28/2024,1
00-31436829,5/15/2020,1
00-51738753,3/6/2023,1
00-59330907,9/19/2021,1
00-74180488,3/5/2018,1
00-60147077,6/28/2021,1
00-82144402,1/3/2018,1
00-43214247,3/26/2024,1
00-20988446,7/22/2020,1
00-58557943,3/1/2018,1
00-18289024,10/29/2023,1
00-86866717,4/14/2023,1
00-79839059,7/14/2023,1
00-88268756,12/30/2021,1
00-17467311,9/25/2021,1
00-71310453,11/1/2021,1
00-51361818,12/9/2022,1
00-10404729,8/31/2022,1
00-16078694,1/4/2021,1
00-82633735,1/8/2019,1
00-14259382,6/6/2018,1
00-28176954,5/19/2024,1
00-66420024,8/23/2021,1
00-60666702,8/10/2023,1
00-82383656,12/15/2022,1
00-33954324,7/2/2024,1
00-27092236,6/7/2023,1
00-10466177,12/3/2022,1
00-83074216,2/6/2020,1
00-40824989,11/22/2021,1
00-46997080,10/23/2023,1
00-25145751,,0
00-92533595,10/28/2022,1
00-37659807,,0
00-69920305,4/27/2021,1
00-16533225,1/10/2018,1
00-68916591,12/17/2020,1
00-17575790,9/11/2018,1
00-87324220,8/23/2018,1
00-53038943,7/19/2021,1
00-79961132,2/24/2021,1
00-18181595,5/16/2021,1
00-33505978,5/7/2023,1
00-76521096,10/19/2024,1
00-61157708,12/8/2023,1
00-65878146,11/24/2021,1
00-34679818,2/16/2023,1
00-40245233,4/30/2019,1
00-72146184,9/25/2024,1
00-65902739,3/5/2024,1
00-42595918,8/26/2020,1
00-20612653,3/20/2019,1
00-81891784,3/29/2023,1
00-46032304,6/18/2022,1
00-15307982,12/22/2018,1
00-88864147,7/21/2023,1
00-74343201,1/25/2024,1
00-12058055,4/23/2019,1
00-25745913,1/1/2023,1
00-91121400,9/5/2022,1
00-84098828,12/13/2023,1
00-72579077,9/6/2021,1
00-45106207,10/4/2019,1
00-23234972,10/3/2023,1
00-52980983,10/22/2024,1
00-65556767,6/29/2024,1
00-29585415,3/16/2019,1
00-87731247,4/6/2023,1
00-36332415,3/19/2019,1
00-42981324,11/29/2020,1
00-55307111,10/15/2021,1
00-96126771,4/3/2023,1
00-57268285,9/19/2020,1
00-75540707,7/23/2019,1
00-17882882,2/2/2021,1
00-99686372,11/30/2021,1
00-28453800,7/19/2023,1
00-30270856,10/7/2018,1
00-60090149,5/13/2019,1
00-92747827,4/24/2019,1
00-12111482,10/22/2022,1
00-11590610,8/28/2019,1
00-81905550,9/14/2024,1
00-67790557,10/18/2023,1
00-22927031,8/2/2020,1
00-93185576,4/11/2021,1
00-63270536,12/31/2021,1
00-85833309,10/18/2024,1
00-50261914,5/20/2023,1
00-97227356,6/28/2023,1
00-60903955,1/3/2021,1
00-95462880,8/28/2024,1
00-77089857,11/7/2023,1
00-54462389,1/25/2021,1
00-15711200,10/28/2021,1
00-73820568,5/26/2018,1
00-47631028,11/11/2018,1
00-14416002,10/26/2023,1
00-37804291,10/21/2020,1
00-63458386,9/5/2024,1
00-85693188,6/1/2024,1
00-82553061,5/22/2023,1
00-20526386,8/22/2020,1
00-23111164,7/2/2019,1
00-91224373,12/17/2023,1
00-53805532,2/11/2016,1
00-70471823,3/9/2021,1
00-60388958,3/15/2020,1
00-98673882,6/7/2020,1
00-43077929,6/9/2023,1
00-30699187,8/14/2018,1
00-62294176,1/23/2021,1
00-10697290,8/19/2024,1
00-46207439,7/25/2024,1
00-67845091,6/18/2020,1
00-64766762,3/28/2020,1
00-84386123,8/6/2020,1
00-53544301,7/31/2023,1
00-65540647,7/16/2020,1
00-85099723,7/23/2023,1
00-79941466,6/25/2021,1
00-28634797,5/26/2019,1
00-29587040,11/30/2020,1
00-66519399,4/29/2019,1
00-43782566,7/20/2024,1
00-76545476,8/20/2021,1
00-24357588,7/1/2021,1
00-54589439,11/30/2023,1
00-54230340,2/25/2023,1
00-97380687,11/9/2024,1
00-53038948,7/23/2021,1
00-74291599,6/27/2019,1
00-49117508,9/7/2022,1
00-87293208,5/7/2018,1
00-47621248,6/10/2018,1
00-25285764,6/16/2019,1
00-83233096,3/14/2018,1
00-71957885,5/29/2019,1
00-49101812,1/24/2018,1
00-64914054,9/24/2022,1
00-50645509,9/22/2018,1
00-66791272,12/11/2023,1
00-90253323,11/17/2022,1
00-77996397,9/10/2024,1
00-82966824,12/30/2021,1
00-82062301,10/18/2021,1
00-43316996,7/6/2022,1
00-96838849,8/24/2024,1
00-96804457,3/29/2020,1
00-67774765,,0
00-39796480,9/21/2020,1
00-87915846,8/23/2022,1
00-60213478,5/11/2020,1
00-77171380,9/16/2020,1
00-24032377,,0
00-29015320,3/13/2019,1
00-37765262,10/13/2020,1
00-23102741,6/5/2020,1
00-52803305,12/11/2023,1
00-25446483,9/12/2021,1
00-24678410,5/1/2023,1
00-42737441,12/4/2020,1
00-54424679,4/17/2021,1
00-64364546,10/9/2024,1
00-98222374,5/7/2020,1
00-92424037,12/7/2023,1
00-67653606,8/21/2018,1
00-37619925,9/26/2020,1
00-18397164,5/23/2021,1
00-59095909,5/18/2019,1
00-45212476,3/18/2023,1
00-95779702,12/12/2020,1
00-62686364,4/6/2021,1
00-71453007,9/19/2021,1
00-49922369,6/17/2019,1
00-27978165,4/17/2020,1
00-25696616,1/30/2022,1
00-78561753,8/15/2021,1
00-87149161,1/30/2019,1
00-95295586,12/10/2022,1
00-84479105,2/20/2018,1
00-35111946,12/18/2021,1
00-17195581,8/26/2024,1
00-28325379,8/26/2024,1
00-77838742,2/3/2023,1
00-75998330,7/6/2019,1
00-32448383,12/18/2022,1
00-39598969,11/23/2022,1
00-82156607,4/9/2019,1
00-76479831,3/21/2021,1
00-25328557,12/3/2019,1
00-59239353,1/14/2022,1
00-69239219,11/24/2024,1
00-97734330,1/5/2023,1
00-14325890,1/2/2021,1
00-21674661,5/20/2020,1
00-41802361,9/17/2020,1
00-57060874,8/22/2023,1
00-67467610,4/21/2020,1
00-37732020,12/24/2023,1
00-57085656,10/26/2023,1
00-32599227,3/22/2022,1
00-48833650,1/29/2021,1
00-22780905,4/7/2024,1
00-47221734,7/6/2023,1
00-27809465,,0
00-43226234,8/10/2022,1
00-75694038,6/14/2019,1
00-94263610,5/25/2023,1
00-95044078,7/30/2023,1
00-79204468,2/4/2023,1
00-71028216,10/23/2024,1
00-10331931,3/9/2018,1
00-71532017,7/12/2021,1
00-18500100,1/30/2018,1
00-67665720,3/28/2018,1
00-53334226,12/15/2023,1
00-87568940,3/8/2019,1
00-56135950,6/20/2024,1
00-23364695,6/2/2022,1
00-26674831,10/12/2024,1
00-71272827,1/23/2023,1
00-27705074,3/11/2018,1
00-46778269,4/24/2024,1
00-21062296,8/24/2018,1
00-16950770,12/1/2019,1
00-41426254,12/15/2024,1
00-22775337,7/21/2021,1
00-27810664,6/11/2021,1
00-69735865,4/11/2018,1
00-26185823,11/10/2024,1
00-27740248,8/23/2022,1
00-21989814,2/23/2023,1
00-52057323,6/9/2020,1
00-61367949,4/29/2024,1
00-29173414,12/9/2024,1
00-91915661,9/10/2022,1
00-38595818,8/2/2021,1
00-92688322,10/3/2022,1
00-23484199,5/26/2021,1
00-61543890,11/15/2020,1
00-28767690,,0
00-43308414,3/21/2023,1
00-91549765,8/20/2017,1
00-98369672,2/1/2018,1
00-91460345,7/9/2020,1
00-49666982,1/28/2023,1
00-61792685,4/6/2024,1
00-89715904,4/27/2017,1
00-52476240,6/16/2018,1
00-59044830,5/5/2024,1
00-73218512,8/21/2024,1
00-88834594,9/4/2018,1
00-15345470,12/9/2024,1
00-48451741,2/8/2024,1
00-65758338,5/29/2024,1
00-95971459,12/23/2020,1
00-47241089,11/29/2016,1
00-37272705,5/7/2019,1
00-53855682,1/18/2020,1
00-97219985,10/27/2023,1
00-68718382,5/4/2024,1
00-42813517,12/30/2017,1
00-70850538,3/26/2022,1
00-99399687,4/29/2023,1
00-26031369,7/8/2021,1
00-11523452,6/26/2021,1
00-79420474,1/27/2018,1
00-32409388,8/20/2018,1
00-46072958,4/1/2023,1
00-13940129,3/18/2022,1
00-80310522,1/19/2018,1
00-94226031,1/21/2017,1
00-58335011,7/30/2017,1
00-59350218,2/28/2023,1
00-25479814,1/2/2018,1
00-15910667,6/22/2018,1
00-16171536,2/7/2020,1
00-34019729,3/28/2019,1
00-98007006,3/3/2020,1
00-65869014,10/3/2024,1
00-20453825,3/7/2021,1
00-17069536,7/4/2021,1
00-63811222,10/16/2023,1
00-47890586,8/10/2023,1
00-21594468,8/28/2024,1
00-36933626,7/20/2019,1
00-93579731,2/26/2024,1
00-76217748,3/24/2019,1
00-83357939,7/9/2022,1
00-10856024,6/21/2019,1
00-82684966,4/9/2019,1
00-54965270,5/8/2018,1
00-51273379,12/5/2024,1
00-66346728,3/26/2021,1
00-47557512,2/17/2020,1
00-79760901,11/22/2023,1
00-21395409,3/17/2022,1
00-95525640,10/2/2023,1
00-86211608,12/12/2024,1
00-41778964,9/28/2017,1
00-62741214,9/10/2022,1
00-52688984,7/11/2019,1
00-37207628,1/16/2018,1
00-30858851,8/13/2021,1
00-52148834,7/27/2021,1
00-37868462,2/22/2020,1
00-26094525,3/19/2020,1
00-90973889,3/28/2017,1
00-22242388,3/5/2023,1
